#options: 576x1024 fps=29/1 timebase=1/29 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1100149 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:0.00 aq:0.32 tex:1839830 mv:96463 misc:155 imb:2304 pmb:0 smb:0 d:- ref:;
in:77 out:77 type:P dur:2 cpbdur:2 q:0.00 aq:0.31 tex:1034739 mv:21457 misc:404 imb:1554 pmb:726 smb:24 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:0.00 aq:0.46 tex:946965 mv:21572 misc:327 imb:1533 pmb:759 smb:12 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:0.00 aq:0.41 tex:792201 mv:19409 misc:462 imb:1399 pmb:861 smb:44 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:0.00 aq:0.26 tex:688839 mv:16695 misc:330 imb:1917 pmb:375 smb:12 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:0.00 aq:0.24 tex:654834 mv:19884 misc:434 imb:1702 pmb:566 smb:36 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:0.00 aq:0.39 tex:894250 mv:20481 misc:301 imb:1817 pmb:481 smb:6 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:0.00 aq:0.42 tex:991011 mv:21474 misc:259 imb:1760 pmb:544 smb:0 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:0.00 aq:0.45 tex:1023064 mv:23629 misc:275 imb:1467 pmb:835 smb:2 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:0.00 aq:0.41 tex:1174925 mv:23410 misc:337 imb:1468 pmb:835 smb:1 d:- ref:0 w:6,67,-18 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:0.00 aq:0.24 tex:1232193 mv:23511 misc:320 imb:1360 pmb:944 smb:0 d:- ref:0 w:6,65,-9 ;
